Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/accounts/login/,49,47,35,455.80027959242994,3.5503999970387667,2903.939999989234,87.6938775510204,0.83833495183513,0.8041171986990022,35,130,160,1200,2300,2800,2900,2900,2900,2900,2900
POST,/api/accounts/login/ [admin],49,35,920,957.0402448987398,13.977900001918897,3326.075299992226,198.71428571428572,0.83833495183513,0.5988106798822357,920,1600,1900,2000,2400,2800,3300,3300,3300,3300,3300
GET,/api/accounts/profile/,67,64,4,4.563149255040144,1.6651999903842807,10.78599999891594,66.59701492537313,1.1462947300602797,1.094968100356088,4,5,5,6,7,8,9,11,11,11,11
POST,/api/accounts/register/,49,35,930,1059.9465326522477,15.868599992245436,3312.4403999827337,96.71428571428571,0.83833495183513,0.5988106798822357,930,1900,2000,2300,2800,2800,3300,3300,3300,3300,3300
GET,/api/lms/all-students/,220,190,5,47.97973499927056,1.2224999954923987,2345.6530999974348,376.6409090909091,3.7639528449740527,3.2506865479321365,5,6,7,8,12,17,160,2300,2300,2300,2300
GET,/api/lms/attendance/all-logs/,160,127,5,69.59001624818484,1.72309999470599,2814.450299978489,165.5875,2.7374202508902203,2.1728273241441123,5,6,8,8,12,29,1800,2300,2800,2800,2800
GET,/api/lms/attendance/logs/,119,116,5,8.306697478367235,1.6784999752417207,166.83800000464544,56.588235294117645,2.0359563115996013,1.9846296818954097,5,5,6,6,7,10,110,160,170,170,170
GET,/api/lms/competitions/,171,0,4,9.010017545021014,1.6056000022217631,717.2420999850146,2268.0,2.9256178931389227,0.0,4,4,4,5,5,6,26,120,720,720,720
GET,/api/lms/courses/,288,288,5,7.843337153846935,1.9220999965909868,700.154999998631,68.87847222222223,4.927356451602396,4.927356451602396,5,5,6,6,7,8,17,29,700,700,700
GET,/api/lms/daily-challenges/,100,97,4,5.4526990005979314,1.5149999817367643,32.30969997821376,56.32,1.7108876568063875,1.6595610271021959,4,5,6,6,8,12,29,32,32,32,32
GET,/api/lms/dashboard/,357,338,4,6.145468347491331,1.5268000133801252,152.77280000736937,74.3389355742297,6.1078689347988036,5.78280028000559,4,5,6,6,8,12,25,28,150,150,150
GET,/api/lms/dashboard/ [admin],366,309,5,21.37555273124424,2.1727000130340457,2460.5766000167932,486.6693989071038,6.261848823911379,5.286642859531738,5,6,8,10,17,20,98,170,2500,2500,2500
GET,/api/lms/gamification/,172,168,4,6.041179069143254,1.895399997010827,105.18119999323972,71.90697674418605,2.9427267697069865,2.8742912634347313,4,5,5,6,7,11,26,58,110,110,110
GET,/health,31,0,3,3.4527290291378216,1.1901000107172877,11.194599996088073,72.0,0.5303751736099802,0.0,3,4,4,4,5,7,11,11,11,11,11
,Aggregated,2198,1814,5,72.63835486789898,1.1901000107172877,3326.075299992226,351.1742493175614,37.6053106966044,31.035502094467873,5,6,7,8,16,65,1900,2300,2900,3300,3300
