Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/accounts/login/,50,0,6100,5833.266968000098,2181.83349998435,9335.136099980446,527.0,0.8544070681142818,0.0,6200,6900,7500,8100,8300,9100,9300,9300,9300,9300,9300
POST,/api/accounts/login/ [admin],48,0,4800,4685.571435416326,1137.5774999905843,8372.660499997437,523.0,0.8202307853897105,0.0,4800,6000,6500,7000,7600,8000,8400,8400,8400,8400,8400
GET,/api/accounts/profile/,39,0,7,467.2046051314399,3.2614000083412975,5450.314900022931,249.3846153846154,0.6664375131291398,0.0,7,8,9,11,2400,5300,5500,5500,5500,5500,5500
POST,/api/accounts/register/,50,0,5100,5196.321436000289,1752.0477999933064,8974.549000005936,165.64,0.8544070681142818,0.0,5200,6500,7000,7800,8400,8600,9000,9000,9000,9000,9000
GET,/api/lms/all-students/,196,0,12,452.59877704012644,7.815899996785447,7993.663700006437,2385.0,3.3492757070079846,0.0,12,13,15,16,23,4900,7400,7600,8000,8000,8000
GET,/api/lms/attendance/all-logs/,99,0,9,645.6837838388053,5.525200016563758,8389.569899998605,574.0,1.691725994866278,0.0,9,11,14,16,3200,6000,7600,8400,8400,8400,8400
GET,/api/lms/attendance/logs/,85,0,7,296.0120129402426,3.5395999730098993,8473.624400008703,2.0,1.4524920157942791,0.0,7,7,8,9,12,1300,6800,8500,8500,8500,8500
GET,/api/lms/competitions/,137,0,4,246.81430802906584,1.5836000093258917,7472.712099988712,2268.0,2.341075366633132,0.0,4,4,5,6,11,2900,4100,4300,7500,7500,7500
GET,/api/lms/courses/,207,0,4,293.68665990428684,1.4946000010240823,8213.82679999806,457.0,3.5372452619931267,0.0,4,4,5,5,8,2300,5500,6400,8200,8200,8200
GET,/api/lms/daily-challenges/,85,0,8,190.39642941103975,4.20769999618642,8190.28119998984,2.0,1.4524920157942791,0.0,8,9,9,10,13,280,5900,8200,8200,8200,8200
GET,/api/lms/dashboard/,238,0,12,283.4817588236623,6.5663999994285405,8424.237200000789,364.7310924369748,4.066977644223981,0.0,12,13,16,17,28,1600,5600,7300,8400,8400,8400
GET,/api/lms/dashboard/ [admin],289,0,19,949.3117238764303,11.089999985415488,8755.613300018013,2801.0,4.9384728537005484,0.0,19,22,30,39,5200,6900,7900,8200,8800,8800,8800
GET,/api/lms/gamification/,141,0,6,208.62764680980217,2.975400013383478,7452.057500020601,656.0,2.4094279320822745,0.0,6,8,8,9,13,18,5200,6300,7500,7500,7500
GET,/health,21,0,3,382.1516619008478,1.784599997336045,5076.25030001509,72.0,0.35885096860799837,0.0,3,4,5,5,9,2900,5100,5100,5100,5100,5100
,Aggregated,1685,0,11,867.92446878367,1.4946000010240823,9335.136099980446,1180.8344213649852,28.793518195451295,0.0,11,15,19,28,4500,6400,7900,8300,9100,9300,9300
